Ingrediente|Platillos|Categoría|Epoca|Origen|Destino|Estado|Cultura prehispánica|Nota cultural|Cult
CHAYA|4|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tabasco|Tabasco|Tabasco|Maya|Planta sagrada que se hierve antes de comer; cruda puede ser tóxica.|
ROBALO|4|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Tabasco|Tabasco|Tabasco|Maya|Pescado blanco de río; suave y versátil en la cocina.|
CHAYOTE|4|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Su piel espinosa protegía el fruto que era hervido con sal.|
PULPO|4|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Veracruz|Veracruz|Veracruz|Maya|Se prepara con su tinta, a la gallega o asado.|
RECAUDO COLORADO|4|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Pasta de achiote con especias; se usa en cochinita y recados rojos.|
PINOLE|4|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Zacatecas|Zacatecas|Zacatecas|Mexica|Maíz molido con cacao; energizante prehispánico ideal para viajes largos.|
CAZON|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Campeche|Campeche|Campeche|Maya|Tiburón pequeño que se sirve en panuchos y empanadas costeñas.|
QUELITE|3|Verduras y Hierbas|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|“Comida verde” en náhuatl; base humilde y nutritiva de los pueblos.|
TOSTADA DE MAIZ|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Nace de aprovechar tortillas duras. Su crocancia es símbolo de sabiduría popular.|
CHOCOLATE DE METATE|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Chiapas|Chiapas|Chiapas|Maya|Cacao molido a mano en piedra caliente; base de la bebida de los dioses.|
LANGOSTINO|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Chiapas|Chiapas|Chiapas|Maya|Marisco de río; se guisa con hoja santa y achiote.|
COCOA|3|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Chiapas|Chiapas|Chiapas|Maya|En la Colonia se mezclaba con canela y almendra; prohibido por clérigos.|
QUESO CHIHUAHUA|3|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Chihuahua|Chihuahua|Chihuahua|Mestiza|Creado por menonitas; se derrite perfectamente en quesadillas.|
CHILE CHILACA|3|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Durango|Durango|Durango|Mexica|Largo y verde; seco se vuelve pasilla. Su sabor es suave y terroso.|
TEQUESQUITE|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Edomex|Edomex|Edomex|Mexica|Sal mineral natural usada para cocer nopales y dar esponjosidad.|
HABA|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Egipto|Puebla|Puebla|Egipto|Era símbolo de fertilidad; en México se sirve con nopales o chorizo.|
QUESO MANCHEGO|3|Lácteos y Huevos|Influencia europea / Porfiriato (1821 - 1910)|España|CDMX|CDMX|España|En México se llama manchego al queso tipo gouda, no al original.|
NATA|3|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Capa grasa de leche hervida; base del rompope conventual.|
MARGARINA|3|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|Francia|CDMX|CDMX|Francia|Inventada por Napoleón III para alimentar al ejército con grasa barata.|
PORO|3|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|Francia|CDMX|CDMX|Francia|Llega con la cocina conventual; base de caldos claros y cremas.|
FRAMBUESA|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Introducida en la repostería colonial; hoy base de mermeladas gourmet.|
FRESA|3|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Francia|Michoacán|Michoacán|Francia|Adaptada a tierras de Zamora, hoy se exporta a todo el mundo.|
VINAGRE DE FRUTA|3|Frutas|Conquista y Virreinato (1521 – 1821)|Francia|Puebla|Puebla|Francia|Se obtiene al fermentar jugos; base de aderezos y escabeches.|
CHILE COSTEÑO|3|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Guerrero|Guerrero|Guerrero|Mexica|Se usa seco en salsas con sabor a leña. Muy picante.|
PULQUE|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Se fermentaba en tinajas de barro y se bebía sólo en fechas especiales.|
SALSA BORRACHA|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Hidalgo|Hidalgo|Hidalgo|Mestiza|Se hace con chile, pulque y especias. Acompaña barbacoa en fiestas.|
TAMARINDO|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Llegó por el Galeón; su sabor ácido es base de aguas frescas y dulces cristalizados.|
ACELGA|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Introducida por misioneros; es nutritiva y muy adaptable.|
FIDEO|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Traído por misioneros y adaptado como sopa de olla mexicana.|
HINOJO|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Usado por romanos como digestivo; en México aromatiza caldos.|
ROMERO|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Planta aromática usada desde la Edad Media para carnes y rituales.|
QUESO PANELA|3|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Jalisco|Jalisco|Jalisco|Mestiza|Fresco y blanco; base de botanas y tacos saludables.|
ATUN|3|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Japón|Baja California|Baja California|Japón|Ensenada lo convirtió en sashimi y conserva industrial.|
MEZCAL|3|Condimentos, Aceites y Endulzantes|Revolución Mexicana (1910 - 1940)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Su nombre viene del náhuatl mexcalli, “maguey cocido”. Se destila desde hace siglos en hornos subterráneos.|
CHILE CHILHUACLE|3|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Rarísimo y caro; se usa sólo en moles negros ceremoniales.|
CAL|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Fundamental para la nixtamalización; transforma el maíz en masa digestible.|
CAMOTE|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Dulce que en ferias se horneaba con canela y se vendía envuelto en hoja.|
GUAJOLOTE|3|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Animal domesticado en Mesoamérica. Se ofrecía en sacrificios.|
TOMATILLO|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Cubierto por cáscara; ácido y usado desde tiempos antiguos en salsas.|
VERDOLAGA|3|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Planta silvestre y resistente; se come con carne de cerdo en guisos.|
CALDO DE AVE|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Mezcla de gallina y vegetales; se sirve con arroz o pasta.|
CHILE EN VINAGRE|3|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Curtido con zanahoria, cebolla y hierbas; conserva casera popular.|
GERMEN DE TRIGO|3|Granos y Cereales|México Contemporáneo (1940 - Actualidad)|Turquía|CDMX|CDMX|Turquía|"Se promovió como ""súper alimento"" durante la Segunda Guerra Mundial."|
AVELLANA|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Turquía|CDMX|CDMX|Turquía|Base de postres europeos; en México se usa en dulces navideños.|
MAMEY|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Fruta carnosa; se usaba como pigmento y postre sagrado.|
GLUCOSA|2|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|Alemania|CDMX|CDMX|Alemania|Azúcar industrial líquida usada para evitar la cristalización.|
BETABEL|2|Verduras y Hierbas|Influencia europea / Porfiriato (1821 - 1910)|Alemania|Zacatecas|Zacatecas|Alemania|Se cultiva desde el siglo XIX; da el característico color al mole rosa.|
COL|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Alemania|Puebla|Puebla|Alemania|Se introdujo como base de sopas y curtidos conventuales.|
LANGOSTA|2|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Baja California|Baja California|Baja California|Seri|Marisco lujoso que antes se tiraba al mar; ahora se exporta.|
SALICORNIA|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Baja California|Baja California|Baja California|Seri|Planta salada de mar; los chefs la llaman “espárrago marino mexicano”.|
ROMERITOS|2|Verduras y Hierbas|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Se consumían con tortitas de ahuautle, los huevos de insecto más caros de México.|
ARRACHERA|2|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|Nuevo León|Nuevo León|España|Corte económico que se volvió estrella de la parrilla norteña.|
QUESO BLANCO|2|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|CDMX|CDMX|CDMX|Mestiza|Fresco y neutro; va en tacos, ensaladas y guisos.|
PAPAYA|2|Frutas|México Prehispánico (Antes de 1521)|Chiapas|Chiapas|Chiapas|Maya|Fruta tropical que se usaba como laxante natural en medicina ancestral.|
DURAZNO|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|China|Puebla|Puebla|China|Fue fruta imperial; en México se come en almíbar o pan de feria.|
MANDARINA|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|China|Veracruz|Veracruz|China|Fruta invernal traída por misioneros; base de aguas y dulces.|
CAPULIN|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Edomex|Edomex|Edomex|Mexica|Fruta pequeña y negra. Se usaba para hacer pulque y mermeladas.|
ACITRON|2|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|España|Puebla|Puebla|España|Provenía de biznaga cristalizada, hoy especie protegida por ley mexicana.|
ACEITUNA VERDE|2|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|España|Puebla|Puebla|España|Se introdujo con monjas; en México se conserva en salmuera.|
FRUTA EN ALMIBAR|2|Frutas|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Las monjas las preparaban para conservar cosechas y ofrecer en celebraciones.|
JAMON DE PIERNA|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Se cura al estilo serrano; usado en tortas y platos festivos.|
REQUESON|2|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Subproducto del suero de leche; muy usado en empanadas y chiles.|
SARDINA|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Enlatada desde el siglo XX; se volvió clásica en tortas y sopas.|
VINO TINTO|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Querétaro|Querétaro|España|Se elaboraba en monasterios; hoy Querétaro es zona vinícola destacada.|
BAGUETTE|2|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Se volvió pan de torta tras la influencia francesa en el Porfiriato.|
MASA MADRE|2|Harinas y Masas|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Su fermentación lenta está de moda; antes era pan de pueblo.|
VINAGRE DE VINO BLANCO|2|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Francia|CDMX|CDMX|Francia|Se hace de uvas blancas fermentadas; más suave que el de caña.|
NABO|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Raíz blanca poco popular hoy; antes era básica en caldos y guisos.|
PERA|2|Frutas|Conquista y Virreinato (1521 – 1821)|Francia|Puebla|Puebla|Francia|En la Colonia se usaba cocida con vino, canela y clavo.|
CONEJO|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Guanajuato|Guanajuato|Guanajuato|Mexica|Se cazaba con trampas y su carne se ofrendaba en lunas llenas.|
MAGUEY|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Planta sagrada. Da bebida, fibra, alimento, medicina y abrigo.|
GRANADA|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Fruta usada en el chile en nogada; representa la sangre nacional.|
ALCACHOFA|2|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Italia|CDMX|CDMX|Italia|Llegó con frailes italianos; se cultiva en zonas templadas.|
ENSALADA|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Platillo frío adaptado a la cocina mexicana con frutas y crema.|
LECHUGA ROMANA|2|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Usada desde el Imperio Romano; base de ensaladas crujientes.|
QUESO DE RANCHO|2|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Jalisco|Jalisco|Jalisco|Mestiza|Se elabora artesanalmente; fuerte y salado.|
QUESO COTIJA|2|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Michoacán|Michoacán|Michoacán|Mestiza|Queso duro que se desmorona; conocido como “parmesano mexicano”.|
ZARZAMORA|2|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Michoacán|Michoacán|Michoacán|Michoacán|El estado es líder mundial en producción de esta fruta.|
IZOTE|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Morelos|Morelos|Morelos|Mexica|Flor del maguey. Se cuece y se fríe en tortitas, aunque puede ser amarga.|
CHILE DE AGUA|2|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Chile fresco típico de los valles centrales; se sirve relleno.|
MOLE NEGRO|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Tiene más de 30 ingredientes; símbolo de fiestas y ofrendas.|
VINAGRE DE YEMA|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Fermentado de agave; usado en festividades tradicionales.|
CAÑA DE MAIZ|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|El tallo jugoso se mascaba como dulce antes del azúcar refinado.|
CHILE CHILCOSTLE|2|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Base de varios moles regionales; de sabor fuerte y piel rugosa.|
MAIZ CACAHUACINTLE|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Su grano grande es usado en pozole y fermentos rituales.|
MASA FRESCA|2|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Se obtiene tras la nixtamalización. Su aroma es símbolo de hogar.|
SALSA PICANTE|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Los mexicas ya preparaban salsas fermentadas con chile y semillas.|
MOLE POBLANO|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mestiza|Creado en conventos; mezcla lo indígena con especias coloniales.|
PIMIENTO|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Puebla|Puebla|Puebla|Mexica|Chile domesticado en Europa hasta volverlo dulce; luego reintroducido.|
ALMIBAR|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Siria|Puebla|Puebla|Siria|Mezcla de agua y azúcar usada en frutas de feria y dulces de convento.|
VENADO|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Sonora|Sonora|Sonora|Yaqui|Su carne era ofrenda ritual y platillo de elite entre culturas del norte.|
MOJARRA|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tabasco|Tabasco|Tabasco|Maya|Pescado de río; se sirve entero frito o en caldo de hierbas.|
PEJELAGARTO|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Tabasco|Tabasco|Tabasco|Maya|Pescado prehistórico con dientes. Se asa entero sobre brasas.|
CALDO DE GUAJOLOTE|2|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Tlaxcala|Tlaxcala|Tlaxcala|Mexica|Guiso ceremonial. Se usaba en bodas, entierros y ritos de paso.|
PASAS|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Turquía|Zacatecas|Zacatecas|Turquía|Uva seca que aparece en moles, panes y arroz navideño.|
CHILE COMAPEÑO|2|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Muy pequeño y picante. Se conserva en vinagre y acompaña pescados.|
CHIPOTLE|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Jalapeño seco y ahumado; sabor intenso que perfuma los adobos.|
MASA DE ELOTE TIERNO|2|Harinas y Masas|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|De sabor dulce, base de tamales de elote y atoles tradicionales.|
SALSA MACHA|2|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|Veracruz|Veracruz|Veracruz|Mestiza|Nació en Veracruz y fue adoptada por todo México con chile seco y ajo crujiente.|
SALSA VERACRUZANA|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Veracruz|Veracruz|Veracruz|Mestiza|Lleva jitomate, alcaparras y aceitunas; influencia española.|
VINAGRE DE CAÑA|2|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Nueva Ginea|Veracruz|Veracruz|Caribeños|Se obtiene al fermentar jugo de caña; dulce y ácido.|
CHILTOMATE|2|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Salsa cocida de jitomate y chile; se acompaña con huevos o frijoles.|
RECAUDO|2|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Yucatán|Yucatán|Yucatán|Maya|Pasta de especias y chiles; base de casi todos los guisos yucatecos.|
JAMAICA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|África|Guerrero|Guerrero|África|Traída por esclavos africanos; da color y acidez a aguas frescas.|
POLVO DE HORNEAR|1|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|Alemania|Veracruz|Veracruz|Alemania|Reemplazó la levadura natural en pan dulce del siglo XIX.|
KIRSCH|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Alemania|CDMX|CDMX|Alemania|Destilado de cereza negra; llegó a México por pasteleros centroeuropeos.|
CARNE MOLIDA|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Alemania|CDMX|CDMX|Alemania|Se masificó por hamburguesas; ahora base de tacos, albóndigas y empanadas.|
ALMEJA GARRA DE LEON|1|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Baja California|Baja California|Baja California|Seri|Se pesca a mano; su carne es tan suave que se puede comer cruda.|
YUCA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Brasil|Veracruz|Veracruz|Brasil|Raíz que puede ser venenosa si no se cuece bien; base del casabe.|
TAPIOCA|1|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|Brasil|Veracruz|Veracruz|Brasil|Derivada de la yuca; usada en postres fríos como “perlas de leche”.|
HACHA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Campeche|Campeche|Campeche|Maya|Marisco parecido a callo; se extrae con cuchillo especial submarino.|
MERO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Campeche|Campeche|Campeche|Maya|Pescado grande; se usa para filetes al mojo o empapelados.|
ACEITE DE CHILE|1|Verduras y Hierbas|México Contemporáneo (1940 - Actualidad)|CDMX|CDMX|CDMX|Contemporánea|Adaptación moderna de salsas chinas, hoy esencial en la cocina callejera.|
ACOCIL|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Crustáceo de los lagos de Tenochtitlán; se comía asado en tacos.|
CHILITOS ROJOS|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Picantes, frescos, típicos en tacos callejeros.|
HARINA DE AMARANTO|1|Granos y Cereales|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Permitida por los virreyes solo si no se usaba en rituales indígenas.|
HAZONTLE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|"Se le dice ""árbol de amaranto""; fue cultivado en chinampas."|
HUAZONTLE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Se preparaba en época de ayuno; se parece al brócoli pero es prehispánico.|
PENEQUES|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mestiza|Tortillas rellenas de queso en caldillo rojo; creación urbana del siglo XX.|
PULPA DE FRUTA|1|Frutas|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|En mercados antiguos se vendía congelada como “nieve de templo”.|
SALSA BOTANERA|1|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|CDMX|CDMX|CDMX|Contemporánea|Se popularizó en los 90’s como complemento de papas y botanas industriales.|
SALSA DE TOMATE|1|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|CDMX|CDMX|CDMX|Mestiza|Adaptación mexicana al ketchup, más líquida y menos dulce.|
TLACOYO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Antojo ovalado con frijol; vendido desde época prehispánica en tianguis.|
TORTILLA TAQUERA|1|Harinas y Masas|México Contemporáneo (1940 - Actualidad)|CDMX|CDMX|CDMX|Contemporánea|Es más chica para que los tacos no se desarmen al morderlos.|
TOSTADA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|CDMX|CDMX|CDMX|Mexica|Surge al reutilizar tortillas secas tostándolas al comal.|
COBERTURA PARA CONCHAS|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Pasta dulce que se hornea encima del pan; cada panadería la reinventa.|
CACAO|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Chiapas|Chiapas|Chiapas|Maya|Se usaba como moneda; 100 granos equivalían a un esclavo.|
CHIPILIN|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Chiapas|Chiapas|Chiapas|Maya|Quelite aromático esencial en tamales chiapanecos.|
PACAYA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Chiapas|Chiapas|Chiapas|Maya|Flor de palma; se capea y se sirve con adobo.|
MELON CHINO|1|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|China|Baja California|Baja California|China|Se cultiva en zonas cálidas de México desde los años 70.|
SALSA DE SOYA|1|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|China|Sinaloa|Sinaloa|China|Introducida por migrantes chinos a zonas pesqueras del Pacífico.|
ARROZ BLANCO|1|Granos y Cereales|Conquista y Virreinato (1521 – 1821)|China|Morelos|Morelos|China|Traído desde Filipinas; base del arroz rojo y blanco en México.|
CARPA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|China|Michoacán|Michoacán|China|Fue introducida en el Porfiriato como especie de crianza para lagos.|
SALSA DE CIRUELAS|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|China|Puebla|Puebla|China|Agridulce y oscura; hoy se usa en pato, cerdo y pastas.|
CHILE COLORADO|1|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Durango|Durango|Durango|Mexica|Base del chile con carne típico del norte.|
CONSERVADOR|1|Condimentos, Aceites y Endulzantes|México Contemporáneo (1940 - Actualidad)|EE.UU.|CDMX|CDMX|EE.UU.|Agregado para extender vida útil; su uso se popularizó en los 70s.|
GALLETA SALADA|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|EE.UU.|CDMX|CDMX|EE.UU.|Parte de lonches escolares desde los años 80; base de botanas.|
MANZANA VERDE|1|Frutas|Conquista y Virreinato (1521 – 1821)|EE.UU.|Chihuahua|Chihuahua|EE.UU.|Se cultiva para exportación; base de postres y ensaladas ácidas.|
NUEZ PECANA|1|Leguminosas, Semillas y Nueces|Conquista y Virreinato (1521 – 1821)|EE.UU.|Coahuila|Coahuila|EE.UU.|Se cultiva en el norte; es más dulce que otras nueces.|
QUESO CREMA|1|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|EE.UU.|CDMX|CDMX|EE.UU.|Untable e industrial; base de cheesecakes y dips desde los 80s.|
LINAZA|1|Leguminosas, Semillas y Nueces|Conquista y Virreinato (1521 – 1821)|Egipto|CDMX|CDMX|Egipto|Rica en fibra; muy usada en panadería saludable o aguas digestivas.|
BIZCOCHO|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Nombre antiguo para pastel seco; parte de la repostería conventual.|
CABRITO|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Nuevo León|Nuevo León|España|Carne de cría de cabra; símbolo de la gastronomía del norte.|
CARNE DE CERDO|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|Veracruz|Veracruz|España|Cambió por completo la dieta mesoamericana al introducir grasa animal.|
CECINA|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Guerrero|Guerrero|España|Se curaba al sol y sal desde la Edad Media; en Yecapixtla es tradición.|
CORDERO|1|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|En la Colonia era símbolo de nobleza; se usaba en banquetes virreinales.|
COSTILLA DE RES|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Corte apreciado para caldos y barbacoas de larga cocción.|
