NOMBRE DEL PLATILLO|ORIGEN_Platillo|RENDIMIENTO (PERSONAS)_Platillo|PREPARACIÓN (MIN)_Platillo|COCCIÓN (MIN)_Platillo|REPOSO (MIN)_Platillo|REFRIGERACIÓN (MIN)_Platillo|CONGELACIÓN (MIN)_Platillo|DIFICULTAD_Platillo|COSTO_Platillo|TIPO_Platillo|Epoca_Platillo|Categoría_Platillo|Ingrediente|num_Platillos|Categoría_Ingrediente|Epoca_Ingrediente|Origen_Ingrediente|Destino_Ingrediente|Estado_Ingrediente|Cultura_prehispánica_Ingrediente|Nota_cultural_Ingrediente
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|AZUCAR|103|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Cultivo traído por los españoles; el azúcar impulsó el desarrollo de haciendas.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|VINO BLANCO|8|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Guanajuato|Guanajuato|España|Monjes lo elaboraban para misas; se produce en viñedos mexicanos.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|CANELA|62|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Sri Lanka|Veracruz|Veracruz|Sri Lanka|En la Colonia se usaba en casi todos los postres conventuales.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|GUAYABA|7|Frutas|México Prehispánico (Antes de 1521)|Michoacán|Michoacán|Michoacán|Purépecha|Fruta del ponche navideño. Rica en vitamina C y nostalgia.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|AZUCAR|103|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Cultivo traído por los españoles; el azúcar impulsó el desarrollo de haciendas.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|HUEVO|76|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|China|CDMX|CDMX|China|El huevo de gallina no existía en América antes de la Conquista.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|GUANABANA|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Su nombre viene del taíno, y se consideraba fruta para calmar el corazón.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|KIRSCH|1|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Alemania|CDMX|CDMX|Alemania|Destilado de cereza negra; llegó a México por pasteleros centroeuropeos.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|CREMA|22|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Se separa por decantación de la leche; se industrializó hasta los años 60.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|MANGO|1|Frutas|Conquista y Virreinato (1521 – 1821)|India|Chiapas|Chiapas|India|Fruta tropical traída por filipinos; ahora es esencial en dulces y salsas.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|ZAPOTE|1|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|"Su nombre viene del náhuatl ""tzapotl""; hay más de 10 variedades."
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|MAMEY|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Fruta carnosa; se usaba como pigmento y postre sagrado.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|FRESA|3|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Francia|Michoacán|Michoacán|Francia|Adaptada a tierras de Zamora, hoy se exporta a todo el mundo.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|ZARZAMORA|2|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Michoacán|Michoacán|Michoacán|Michoacán|El estado es líder mundial en producción de esta fruta.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|FRAMBUESA|3|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Introducida en la repostería colonial; hoy base de mermeladas gourmet.
GUAYABAS RELLENAS DE MOUSSE DE GUANABANA|COLIMA|4|40|30|120|0|0|2|2|Postres|México Contemporáneo (1940 - Actualidad)|Dulces y postres|HIERBABUENA|16|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|España|Veracruz|Veracruz|España|Se adaptó tan bien que se volvió ingrediente esencial en moles verdes.
LANGOSTINOS AL CHILE COMAPEÑO|COLIMA|2|15|13|0|0|0|3|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|ACEITE DE OLIVA|55|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Se cultiva en México desde el siglo XVI, pero con restricción colonial.
LANGOSTINOS AL CHILE COMAPEÑO|COLIMA|2|15|13|0|0|0|3|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|CHILE COMAPEÑO|2|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Muy pequeño y picante. Se conserva en vinagre y acompaña pescados.
LANGOSTINOS AL CHILE COMAPEÑO|COLIMA|2|15|13|0|0|0|3|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|PIÑA|8|Frutas|Conquista y Virreinato (1521 – 1821)|Brasil|Veracruz|Veracruz|Brasil|Fue uno de los primeros frutos tropicales exportados a Europa.
LANGOSTINOS AL CHILE COMAPEÑO|COLIMA|2|15|13|0|0|0|3|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|HOJA SANTA|14|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Se le atribuyen propiedades místicas; envuelve pescados como si los bendijera.
LANGOSTINOS AL CHILE COMAPEÑO|COLIMA|2|15|13|0|0|0|3|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|GERMEN DE TRIGO|3|Granos y Cereales|México Contemporáneo (1940 - Actualidad)|Turquía|CDMX|CDMX|Turquía|"Se promovió como ""súper alimento"" durante la Segunda Guerra Mundial."
LANGOSTINOS AL CHILE COMAPEÑO|COLIMA|2|15|13|0|0|0|3|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|LANGOSTINO|3|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Chiapas|Chiapas|Chiapas|Maya|Marisco de río; se guisa con hoja santa y achiote.
LANGOSTINOS AL CHILE COMAPEÑO|COLIMA|2|15|13|0|0|0|3|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
LANGOSTINOS AL CHILE COMAPEÑO|COLIMA|2|15|13|0|0|0|3|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|PIMIENTA|145|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|En la Edad Media valía más que el oro; llegó por vía marítima.
LANGOSTINOS AL CHILE COMAPEÑO|COLIMA|2|15|13|0|0|0|3|3|Desayunos y Entradas|Conquista y Virreinato (1521 – 1821)|Pescados y mariscos|LECHUGA|22|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Italia|Puebla|Puebla|Italia|Cultivada en conventos; símbolo de frescura y limpieza espiritual.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|GUAJE|4|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Sus vainas eran usadas como alimento y como instrumentos musicales.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|XOCONOSTLE|16|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Otomí|Tuna ácida del nopal; símbolo de resistencia y acidez ancestral.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|CHILE SERRANO|52|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|Se llama “serrano” porque crece en la sierra. Su picor varía con la altitud.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|JITOMATE|157|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Europa lo creyó venenoso por siglos. Hoy es base de cocina mundial gracias a Mesoamérica.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|ARRACHERA|2|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|Nuevo León|Nuevo León|España|Corte económico que se volvió estrella de la parrilla norteña.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|ACEITE DE CHILE|1|Verduras y Hierbas|México Contemporáneo (1940 - Actualidad)|CDMX|CDMX|CDMX|Contemporánea|Adaptación moderna de salsas chinas, hoy esencial en la cocina callejera.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|PIÑA|8|Frutas|Conquista y Virreinato (1521 – 1821)|Brasil|Veracruz|Veracruz|Brasil|Fue uno de los primeros frutos tropicales exportados a Europa.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|NOPAL|9|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Morelos|Morelos|Morelos|Mexica|Planta nacional. Sus pencas se usan para comer, curar y hasta limpiar.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|CEBOLLA|238|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Se usaba como medicina en Egipto; llegó a México en la Colonia.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|ACEITE DE OLIVA|55|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|Se cultiva en México desde el siglo XVI, pero con restricción colonial.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|OREGANO|63|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|Puebla|Puebla|Italia|En México se usa una variedad local más fuerte que la europea.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|CHORIZO VERDE|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|Toluca|Toluca|Meztiza|Hecho con chile, epazote y perejil; color único entre embutidos.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|CHORIZO|10|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|En México se volvió más rojo y picante, con chile y vinagre.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|AGUACATE|41|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Su nombre significa “testículo” en náhuatl por su forma. Afrodisiaco desde tiempos antiguos.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
ARRACHERA CON SALSA DE GUAJES|DURANGO|6|10|20|180|0|0|1|2|Carnes|Revolución Mexicana (1910 - 1940)|Carnes|TORTILLA DE HARINA|5|Harinas y Masas|Conquista y Virreinato (1521 – 1821)|Sonora|Sonora|Sonora|Mestiza|Nació por falta de maíz; símbolo del norte mexicano.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|CERDO|119|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|Veracruz|Veracruz|España|Hernán Cortés trajo los primeros cerdos; transformaron la dieta mesoamericana.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|CEBOLLA|238|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Se usaba como medicina en Egipto; llegó a México en la Colonia.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|AJO|195|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Kazajistán|Puebla|Puebla|Kazajistán|Muy valorado por su aroma y poder antibiótico natural.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|CERDO|119|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|España|Veracruz|Veracruz|España|Hernán Cortés trajo los primeros cerdos; transformaron la dieta mesoamericana.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|CHILE ANCHO|55|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Es el chile poblano seco; su nombre refiere al grosor de su carne.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|TOMATE VERDE|40|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Hidalgo|Hidalgo|Hidalgo|Mexica|Más ácido que el jitomate; base prehispánica de las salsas verdes.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|BOLILLO|18|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Francia|Puebla|Puebla|Francia|Adaptación mexicana de la baguette; base de la torta.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|TORTILLA DE MAÍZ|21|Harinas y Masas|México Prehispánico (Antes de 1521)|Oaxaca|Oaxaca|Oaxaca|Zapoteca|Más que alimento: símbolo cultural. En cada pliegue hay historia.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|COMINO|40|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Egipto|Puebla|Puebla|Egipto|Se usaba en embalsamamientos; hoy da sabor a adobos y chorizos.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|CHOCOLATE|12|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Chiapas|Chiapas|Chiapas|Maya|Era moneda, medicina y bebida de dioses. No llevaba azúcar.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|LAUREL|32|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|CDMX|CDMX|Italia|Símbolo de victoria en Roma; en México se usa en caldos y salsas.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|OREGANO|63|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|Italia|Puebla|Puebla|Italia|En México se usa una variedad local más fuerte que la europea.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|NARANJA|43|Frutas|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|Las primeras naranjas dulces llegaron vía Cuba y se adaptaron muy bien.
ASADO DE BODA|DURANGO|4|20|90|15|0|0|2|2|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|CHICHARRON|8|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|CDMX|CDMX|España|Herencia ibérica; hoy base de tacos, salsas y guisados.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|CARNE MOLIDA|1|Carnes y Mariscos|Conquista y Virreinato (1521 – 1821)|Alemania|CDMX|CDMX|Alemania|Se masificó por hamburguesas; ahora base de tacos, albóndigas y empanadas.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|HUEVO|76|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|China|CDMX|CDMX|China|El huevo de gallina no existía en América antes de la Conquista.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|CILANTRO|65|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Grecia|Veracruz|Veracruz|Grecia|Los mexicas no lo conocieron; se popularizó mucho después.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|AJO|195|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Kazajistán|Puebla|Puebla|Kazajistán|Muy valorado por su aroma y poder antibiótico natural.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|CEBOLLA|238|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Se usaba como medicina en Egipto; llegó a México en la Colonia.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|HIERBABUENA|16|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|España|Veracruz|Veracruz|España|Se adaptó tan bien que se volvió ingrediente esencial en moles verdes.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|PIMIENTA|145|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Veracruz|Veracruz|India|En la Edad Media valía más que el oro; llegó por vía marítima.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|JITOMATE|157|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Europa lo creyó venenoso por siglos. Hoy es base de cocina mundial gracias a Mesoamérica.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|CHILE CHIPOTLE|21|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Jalapeño seco y ahumado; su sabor recuerda a la leña y tierra.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|ACEITE|106|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|El aceite de oliva fue esencial en la comida conventual.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|ARROZ|18|Granos y Cereales|Conquista y Virreinato (1521 – 1821)|China|Veracruz|Veracruz|China|Llegó por Filipinas; México es el mayor consumidor de arroz en América.
ALBONDIGAS CON CHICHARRON|ESTADO DE MEXICO|8|20|45|15|0|0|2|1|Carnes|Conquista y Virreinato (1521 – 1821)|Carnes|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|ALCACHOFA|2|Condimentos, Aceites y Endulzantes|Influencia europea / Porfiriato (1821 - 1910)|Italia|CDMX|CDMX|Italia|Llegó con frailes italianos; se cultiva en zonas templadas.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|MANTEQUILLA|57|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Era producto de lujo; en el siglo XX se popularizó con los refrigeradores.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|LIMON|58|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|India|Colima|Colima|India|El limón persa fue traído por los españoles y crece mejor en la costa.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|ACEITE|106|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|España|Puebla|Puebla|España|El aceite de oliva fue esencial en la comida conventual.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|CEBOLLA|238|Verduras y Hierbas|Conquista y Virreinato (1521 – 1821)|Irán|Puebla|Puebla|Irán|Se usaba como medicina en Egipto; llegó a México en la Colonia.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|OSTION|5|Carnes y Mariscos|México Prehispánico (Antes de 1521)|Veracruz|Veracruz|Veracruz|Totonaca|En la época prehispánica se usaban como ofrenda marina y se comían crudos.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|CREMA|22|Lácteos y Huevos|Conquista y Virreinato (1521 – 1821)|Francia|CDMX|CDMX|Francia|Se separa por decantación de la leche; se industrializó hasta los años 60.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|CHILE CHIPOTLE|21|Verduras y Hierbas|México Prehispánico (Antes de 1521)|Puebla|Puebla|Puebla|Mexica|Jalapeño seco y ahumado; su sabor recuerda a la leña y tierra.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|QUESO GRUYERE|1|Lácteos y Huevos|Influencia europea / Porfiriato (1821 - 1910)|Suiza|CDMX|CDMX|Suiza|Su nombre está protegido por denominación; se usa en fondue y empanadas.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|SAL|356|Condimentos, Aceites y Endulzantes|México Prehispánico (Antes de 1521)|Colima|Colima|Colima|Mexica|La sal era tan valiosa que se usaba como tributo y moneda entre culturas mesoamericanas.
ALCACHOFAS GRATINADAS AL CHIPOTLE|ESTADO DE MEXICO|8|15|25|0|0|0|3|2|Desayunos y Entradas|México Contemporáneo (1940 - Actualidad)|Vegetariano|CEBOLLIN|5|Condimentos, Aceites y Endulzantes|Conquista y Virreinato (1521 – 1821)|China|CDMX|CDMX|China|Su sabor suave es ideal para decorar sopas y pastas.
